Problem:    donMario_II
   373 promo1[13,5]                0                          -0 
   374 promo1[13,6]               -1                          -0 
   375 promo1[13,7]               -1                          -0 
   376 promo1[14,4]               -1                          -0 
   377 promo1[14,5]                0                          -0 
   378 promo1[14,6]               -1                          -0 
   379 promo1[14,7]               -1                          -0 
   380 promo1[15,4]               -1                          -0 
   381 promo1[15,5]                0                          -0 
   382 promo1[15,6]               -1                          -0 
   383 promo1[15,7]                0                          -0 
   384 promo2[1,4]                 0                          -0 
   385 promo2[1,5]                -1                          -0 
   386 promo2[1,6]                 0                          -0 
   387 promo2[1,7]                 0                          -0 
   388 promo2[2,4]                -1                          -0 
   389 promo2[2,5]                 0                          -0 
   390 promo2[2,6]                -1                          -0 
   391 promo2[2,7]                 0                          -0 
   392 promo2[3,4]                 0                          -0 
   393 promo2[3,5]                -1                          -0 
   394 promo2[3,6]                 0                          -0 
   395 promo2[3,7]                -1                          -0 
   396 promo2[4,4]                 0                          -0 
   397 promo2[4,5]                -1                          -0 
   398 promo2[4,6]                -1                          -0 
   399 promo2[4,7]                 0                          -0 
   400 promo2[5,4]                -1                          -0 
   401 promo2[5,5]                 0                          -0 
   402 promo2[5,6]                -1                          -0 
   403 promo2[5,7]                 0                          -0 
   404 promo2[6,4]                 0                          -0 
   405 promo2[6,5]                -1                          -0 
   406 promo2[6,6]                -1                          -0 
   407 promo2[6,7]                 0                          -0 
   408 promo2[7,4]                 0                          -0 
   409 promo2[7,5]                 0                          -0 
   410 promo2[7,6]                -1                          -0 
   411 promo2[7,7]                -1                          -0 
   412 promo2[8,4]                 0                          -0 
   413 promo2[8,5]                -1                          -0 
   414 promo2[8,6]                 0                          -0 
   415 promo2[8,7]                 0                          -0 
   416 promo2[9,4]                -1                          -0 
   417 promo2[9,5]                 0                          -0 
   418 promo2[9,6]                 0                          -0 
   419 promo2[9,7]                -1                          -0 
   420 promo2[10,4]                0                          -0 
   421 promo2[10,5]               -1                          -0 
   422 promo2[10,6]               -1                          -0 
   423 promo2[10,7]                0                          -0 
   424 promo2[11,4]                0                          -0 
   425 promo2[11,5]               -1                          -0 
   426 promo2[11,6]               -1                          -0 
   427 promo2[11,7]                0                          -0 
   428 promo2[12,4]               -1                          -0 
   429 promo2[12,5]                0                          -0 
   430 promo2[12,6]               -1                          -0 
   431 promo2[12,7]                0                          -0 
   432 promo2[13,4]               -1                          -0 
   433 promo2[13,5]                0                          -0 
   434 promo2[13,6]                0                          -0 
   435 promo2[13,7]               -1                          -0 
   436 promo2[14,4]                0                          -0 
   437 promo2[14,5]               -1                          -0 
   438 promo2[14,6]                0                          -0 
   439 promo2[14,7]               -1                          -0 
   440 promo2[15,4]               -1                          -0 
   441 promo2[15,5]               -1                          -0 
   442 promo2[15,6]                0                          -0 
   443 promo2[15,7]               -1                          -0 
   444 promo3[1,4]                -1                          -0 
   445 promo3[1,5]                 0                          -0 
   446 promo3[1,6]                -1                          -0 
   447 promo3[1,7]                 0                          -0 
   448 promo3[2,4]                 0                          -0 
   449 promo3[2,5]                -1                          -0 
   450 promo3[2,6]                 0                          -0 
   451 promo3[2,7]                -1                          -0 
   452 promo3[3,4]                -1                          -0 
   453 promo3[3,5]                 0                          -0 
   454 promo3[3,6]                -1                          -0 
   455 promo3[3,7]                 0                          -0 
   456 promo3[4,4]                -1                          -0 
   457 promo3[4,5]                 0                          -0 
   458 promo3[4,6]                -1                          -0 
   459 promo3[4,7]                -1                          -0 
   460 promo3[5,4]                 0                          -0 
   461 promo3[5,5]                 0                          -0 
   462 promo3[5,6]                -1                          -0 
   463 promo3[5,7]                -1                          -0 
   464 promo3[6,4]                -1                          -0 
   465 promo3[6,5]                 0                          -0 
   466 promo3[6,6]                -1                          -0 
   467 promo3[6,7]                -1                          -0 
   468 promo3[7,4]                 0                          -0 
   469 promo3[7,5]                 0                          -0 
   470 promo3[7,6]                 0                          -0 
   471 promo3[7,7]                -1                          -0 
   472 promo3[8,4]                 0                          -0 
   473 promo3[8,5]                -1                          -0 
   474 promo3[8,6]                -1                          -0 
   475 promo3[8,7]                 0                          -0 
   476 promo3[9,4]                 0                          -0 
   477 promo3[9,5]                -1                          -0 
   478 promo3[9,6]                 0                          -0 
   479 promo3[9,7]                 0                          -0 
   480 promo3[10,4]               -1                          -0 
   481 promo3[10,5]                0                          -0 
   482 promo3[10,6]               -1                          -0 
   483 promo3[10,7]               -1                          -0 
   484 promo3[11,4]               -1                          -0 
   485 promo3[11,5]                0                          -0 
   486 promo3[11,6]               -1                          -0 
   487 promo3[11,7]               -1                          -0 
   488 promo3[12,4]                0                          -0 
   489 promo3[12,5]                0                          -0 
   490 promo3[12,6]               -1                          -0 
   491 promo3[12,7]               -1                          -0 
   492 promo3[13,4]               -1                          -0 
   493 promo3[13,5]               -1                          -0 
   494 promo3[13,6]                0                          -0 
   495 promo3[13,7]                0                          -0 
   496 promo3[14,4]               -1                          -0 
   497 promo3[14,5]                0                          -0 
   498 promo3[14,6]               -1                          -0 
   499 promo3[14,7]                0                          -0 
   500 promo3[15,4]                0                          -0 
   501 promo3[15,5]               -1                          -0 
   502 promo3[15,6]               -1                          -0 
   503 promo3[15,7]                0                          -0 
   504 promo4[1,4]                -2            -2               
   505 promo4[1,5]                -1            -2               
   506 promo4[1,6]                -1            -2               
   507 promo4[1,7]                 0            -2               
   508 promo4[2,4]                -1            -2               
   509 promo4[2,5]                -2            -2               
   510 promo4[2,6]                -1            -2               
   511 promo4[2,7]                -2            -2               
   512 promo4[3,4]                -2            -2               
   513 promo4[3,5]                -1            -2               
   514 promo4[3,6]                -2            -2               
   515 promo4[3,7]                -1            -2               
   516 promo4[4,4]                -2            -2               
   517 promo4[4,5]                -2            -2               
   518 promo4[4,6]                -2            -2               
   519 promo4[4,7]                -2            -2               
   520 promo4[5,4]                -2            -2               
   521 promo4[5,5]                -2            -2               
   522 promo4[5,6]                -2            -2               
   523 promo4[5,7]                -1            -2               
   524 promo4[6,4]                -2            -2               
   525 promo4[6,5]                -2            -2               
   526 promo4[6,6]                -2            -2               
   527 promo4[6,7]                -2            -2               
   528 promo4[7,4]                 0            -2               
   529 promo4[7,5]                -1            -2               
   530 promo4[7,6]                -2            -2               
   531 promo4[7,7]                -2            -2               
   532 promo4[8,4]                -2            -2               
   533 promo4[8,5]                -2            -2               
   534 promo4[8,6]                -1            -2               
   535 promo4[8,7]                -1            -2               
   536 promo4[9,4]                -1            -2               
   537 promo4[9,5]                -1            -2               
   538 promo4[9,6]                -1            -2               
   539 promo4[9,7]                -1            -2               
   540 promo4[10,4]               -2            -2               
   541 promo4[10,5]               -2            -2               
   542 promo4[10,6]               -2            -2               
   543 promo4[10,7]               -2            -2               
   544 promo4[11,4]               -2            -2               
   545 promo4[11,5]               -2            -2               
   546 promo4[11,6]               -2            -2               
   547 promo4[11,7]               -2            -2               
   548 promo4[12,4]               -2            -2               
   549 promo4[12,5]               -2            -2               
   550 promo4[12,6]               -2            -2               
   551 promo4[12,7]               -2            -2               
   552 promo4[13,4]               -2            -2               
   553 promo4[13,5]               -1            -2               
   554 promo4[13,6]               -1            -2               
   555 promo4[13,7]               -2            -2               
   556 promo4[14,4]               -2            -2               
   557 promo4[14,5]               -1            -2               
   558 promo4[14,6]               -2            -2               
   559 promo4[14,7]               -2            -2               
   560 promo4[15,4]               -2            -2               
   561 promo4[15,5]               -2            -2               
